2019-10-20 19:25:23,033 [main] INFO  www.postcodes.io.config.TestConfig - Configuration Loaded Successfully
2019-10-20 19:25:23,790 [main] INFO  TestHelper.PostCodeHelper - GET https://api.postcodes.io/postcodes/rm139r HTTP/1.1
2019-10-20 19:25:24,342 [main] INFO  TestHelper.PostCodeHelper - HttpResponseProxy{HTTP/1.1 404 Not Found [Server: nginx/1.14.0, Date: Sun, 20 Oct 2019 18:25:24 GMT, Content-Type: application/json; charset=utf-8, Content-Length: 41, Connection: keep-alive, X-GNU: Michael J Blanchard, Access-Control-Allow-Origin: *, ETag: W/"29-T14TWaKfjMuMFPoRgcsDj2g1ORs"] ResponseEntityProxy{[Content-Type: application/json; charset=utf-8,Content-Length: 41,Chunked: false]}}
2019-10-20 19:25:24,345 [main] INFO  w.p.io.tests.PostCodeResourceTestss - {"status":404,"error":"Invalid postcode"}
2019-10-20 19:25:24,350 [main] INFO  www.postcodes.io.config.TestConfig - Configuration Loaded Successfully
2019-10-20 19:25:24,360 [main] INFO  TestHelper.PostCodeHelper - GET https://api.postcodes.io/postcodes?q=ABC HTTP/1.1
2019-10-20 19:25:24,427 [main] INFO  TestHelper.PostCodeHelper - HttpResponseProxy{HTTP/1.1 200 OK [Server: nginx/1.14.0, Date: Sun, 20 Oct 2019 18:25:24 GMT, Content-Type: application/json; charset=utf-8, Content-Length: 28, Connection: keep-alive, X-GNU: Michael J Blanchard, Access-Control-Allow-Origin: *, ETag: W/"1c-C4NcFMR9ZJvtLuqE6P6UsNsSIg8"] ResponseEntityProxy{[Content-Type: application/json; charset=utf-8,Content-Length: 28,Chunked: false]}}
2019-10-20 19:25:24,427 [main] INFO  w.p.io.tests.PostCodeResourceTestss - HttpResponseProxy{HTTP/1.1 200 OK [Server: nginx/1.14.0, Date: Sun, 20 Oct 2019 18:25:24 GMT, Content-Type: application/json; charset=utf-8, Content-Length: 28, Connection: keep-alive, X-GNU: Michael J Blanchard, Access-Control-Allow-Origin: *, ETag: W/"1c-C4NcFMR9ZJvtLuqE6P6UsNsSIg8"] ResponseEntityProxy{[Content-Type: application/json; charset=utf-8,Content-Length: 28,Chunked: false]}}
2019-10-20 19:25:24,434 [main] INFO  www.postcodes.io.config.TestConfig - Configuration Loaded Successfully
2019-10-20 19:25:24,443 [main] INFO  TestHelper.PostCodeHelper - PostRequest--------{"postcodes":["TW3 1LX","TW3 4DU"]}
2019-10-20 19:25:24,531 [main] INFO  TestHelper.PostCodeHelper - HttpResponseProxy{HTTP/1.1 200 OK [Server: nginx/1.14.0, Date: Sun, 20 Oct 2019 18:25:24 GMT, Content-Type: application/json; charset=utf-8, Content-Length: 1617, Connection: keep-alive, X-GNU: Michael J Blanchard, Access-Control-Allow-Origin: *, ETag: W/"651-mv+tcsEcZY8qfnGmkK3rA54aFNw"] ResponseEntityProxy{[Content-Type: application/json; charset=utf-8,Content-Length: 1617,Chunked: false]}}
2019-10-20 19:25:24,531 [main] INFO  w.p.io.tests.PostCodeResourceTestss - {"status":200,"result":[{"query":"TW3 1LX","result":{"postcode":"TW3 1LX","quality":1,"eastings":513753,"northings":175857,"country":"England","nhs_ha":"London","longitude":-0.363664,"latitude":51.470255,"european_electoral_region":"London","primary_care_trust":"Hounslow","region":"London","lsoa":"Hounslow 018A","msoa":"Hounslow 018","incode":"1LX","outcode":"TW3","parliamentary_constituency":"Brentford and Isleworth","admin_district":"Hounslow","parish":"Hounslow, unparished area","admin_county":null,"admin_ward":"Hounslow Central","ced":null,"ccg":"NHS Hounslow","nuts":"Hounslow and Richmond upon Thames","codes":{"admin_district":"E09000018","admin_county":"E99999999","admin_ward":"E05000358","parish":"E43000208","parliamentary_constituency":"E14000593","ccg":"E38000084","ced":"E99999999","nuts":"UKI75"}}},{"query":"TW3 4DU","result":{"postcode":"TW3 4DU","quality":1,"eastings":513929,"northings":176372,"country":"England","nhs_ha":"London","longitude":-0.360965,"latitude":51.474848,"european_electoral_region":"London","primary_care_trust":"Hounslow","region":"London","lsoa":"Hounslow 012C","msoa":"Hounslow 012","incode":"4DU","outcode":"TW3","parliamentary_constituency":"Brentford and Isleworth","admin_district":"Hounslow","parish":"Hounslow, unparished area","admin_county":null,"admin_ward":"Hounslow Central","ced":null,"ccg":"NHS Hounslow","nuts":"Hounslow and Richmond upon Thames","codes":{"admin_district":"E09000018","admin_county":"E99999999","admin_ward":"E05000358","parish":"E43000208","parliamentary_constituency":"E14000593","ccg":"E38000084","ced":"E99999999","nuts":"UKI75"}}}]}
2019-10-20 19:25:24,536 [main] INFO  www.postcodes.io.config.TestConfig - Configuration Loaded Successfully
2019-10-20 19:25:24,542 [main] INFO  TestHelper.PostCodeHelper - PostRequest--------{"postcodes":["TW3 1LX","TW3 4DU"]}
2019-10-20 19:25:24,636 [main] INFO  TestHelper.PostCodeHelper - HttpResponseProxy{HTTP/1.1 200 OK [Server: nginx/1.14.0, Date: Sun, 20 Oct 2019 18:25:24 GMT, Content-Type: application/json; charset=utf-8, Content-Length: 1617, Connection: keep-alive, X-GNU: Michael J Blanchard, Access-Control-Allow-Origin: *, ETag: W/"651-mv+tcsEcZY8qfnGmkK3rA54aFNw"] ResponseEntityProxy{[Content-Type: application/json; charset=utf-8,Content-Length: 1617,Chunked: false]}}
2019-10-20 19:25:24,636 [main] INFO  w.p.io.tests.PostCodeResourceTestss - {"status":200,"result":[{"query":"TW3 1LX","result":{"postcode":"TW3 1LX","quality":1,"eastings":513753,"northings":175857,"country":"England","nhs_ha":"London","longitude":-0.363664,"latitude":51.470255,"european_electoral_region":"London","primary_care_trust":"Hounslow","region":"London","lsoa":"Hounslow 018A","msoa":"Hounslow 018","incode":"1LX","outcode":"TW3","parliamentary_constituency":"Brentford and Isleworth","admin_district":"Hounslow","parish":"Hounslow, unparished area","admin_county":null,"admin_ward":"Hounslow Central","ced":null,"ccg":"NHS Hounslow","nuts":"Hounslow and Richmond upon Thames","codes":{"admin_district":"E09000018","admin_county":"E99999999","admin_ward":"E05000358","parish":"E43000208","parliamentary_constituency":"E14000593","ccg":"E38000084","ced":"E99999999","nuts":"UKI75"}}},{"query":"TW3 4DU","result":{"postcode":"TW3 4DU","quality":1,"eastings":513929,"northings":176372,"country":"England","nhs_ha":"London","longitude":-0.360965,"latitude":51.474848,"european_electoral_region":"London","primary_care_trust":"Hounslow","region":"London","lsoa":"Hounslow 012C","msoa":"Hounslow 012","incode":"4DU","outcode":"TW3","parliamentary_constituency":"Brentford and Isleworth","admin_district":"Hounslow","parish":"Hounslow, unparished area","admin_county":null,"admin_ward":"Hounslow Central","ced":null,"ccg":"NHS Hounslow","nuts":"Hounslow and Richmond upon Thames","codes":{"admin_district":"E09000018","admin_county":"E99999999","admin_ward":"E05000358","parish":"E43000208","parliamentary_constituency":"E14000593","ccg":"E38000084","ced":"E99999999","nuts":"UKI75"}}}]}
2019-10-20 19:25:24,638 [main] INFO  www.postcodes.io.config.TestConfig - Configuration Loaded Successfully
2019-10-20 19:25:24,644 [main] INFO  TestHelper.PostCodeHelper - GET https://api.postcodes.io/postcodes/tw31lx HTTP/1.1
2019-10-20 19:25:24,733 [main] INFO  TestHelper.PostCodeHelper - HttpResponseProxy{HTTP/1.1 200 OK [Server: nginx/1.14.0, Date: Sun, 20 Oct 2019 18:25:24 GMT, Content-Type: application/json; charset=utf-8, Content-Length: 790, Connection: keep-alive, X-GNU: Michael J Blanchard, Access-Control-Allow-Origin: *, ETag: W/"316-nLNNhOzEJ9QLrP08D0wvUnsgDH4"] ResponseEntityProxy{[Content-Type: application/json; charset=utf-8,Content-Length: 790,Chunked: false]}}
2019-10-20 19:25:24,734 [main] INFO  w.p.io.tests.PostCodeResourceTestss - {"status":200,"result":{"postcode":"TW3 1LX","quality":1,"eastings":513753,"northings":175857,"country":"England","nhs_ha":"London","longitude":-0.363664,"latitude":51.470255,"european_electoral_region":"London","primary_care_trust":"Hounslow","region":"London","lsoa":"Hounslow 018A","msoa":"Hounslow 018","incode":"1LX","outcode":"TW3","parliamentary_constituency":"Brentford and Isleworth","admin_district":"Hounslow","parish":"Hounslow, unparished area","admin_county":null,"admin_ward":"Hounslow Central","ced":null,"ccg":"NHS Hounslow","nuts":"Hounslow and Richmond upon Thames","codes":{"admin_district":"E09000018","admin_county":"E99999999","admin_ward":"E05000358","parish":"E43000208","parliamentary_constituency":"E14000593","ccg":"E38000084","ced":"E99999999","nuts":"UKI75"}}}
2019-10-20 19:25:24,735 [main] INFO  www.postcodes.io.config.TestConfig - Configuration Loaded Successfully
2019-10-20 19:25:24,746 [main] INFO  TestHelper.PostCodeHelper - GET https://api.postcodes.io/postcodes?q=TW3+1LX HTTP/1.1
2019-10-20 19:25:24,840 [main] INFO  TestHelper.PostCodeHelper - HttpResponseProxy{HTTP/1.1 200 OK [Server: nginx/1.14.0, Date: Sun, 20 Oct 2019 18:25:24 GMT, Content-Type: application/json; charset=utf-8, Content-Length: 792, Connection: keep-alive, X-GNU: Michael J Blanchard, Access-Control-Allow-Origin: *, ETag: W/"318-NPnsoX5lGaPkRBBtLd2rqbyQ/Fg"] ResponseEntityProxy{[Content-Type: application/json; charset=utf-8,Content-Length: 792,Chunked: false]}}
2019-10-20 19:25:24,840 [main] INFO  w.p.io.tests.PostCodeResourceTestss - HttpResponseProxy{HTTP/1.1 200 OK [Server: nginx/1.14.0, Date: Sun, 20 Oct 2019 18:25:24 GMT, Content-Type: application/json; charset=utf-8, Content-Length: 792, Connection: keep-alive, X-GNU: Michael J Blanchard, Access-Control-Allow-Origin: *, ETag: W/"318-NPnsoX5lGaPkRBBtLd2rqbyQ/Fg"] ResponseEntityProxy{[Content-Type: application/json; charset=utf-8,Content-Length: 792,Chunked: false]}}
2019-10-20 19:25:24,841 [main] INFO  w.p.io.tests.PostCodeResourceTestss - {"status":200,"result":[{"postcode":"TW3 1LX","quality":1,"eastings":513753,"northings":175857,"country":"England","nhs_ha":"London","longitude":-0.363664,"latitude":51.470255,"european_electoral_region":"London","primary_care_trust":"Hounslow","region":"London","lsoa":"Hounslow 018A","msoa":"Hounslow 018","incode":"1LX","outcode":"TW3","parliamentary_constituency":"Brentford and Isleworth","admin_district":"Hounslow","parish":"Hounslow, unparished area","admin_county":null,"admin_ward":"Hounslow Central","ced":null,"ccg":"NHS Hounslow","nuts":"Hounslow and Richmond upon Thames","codes":{"admin_district":"E09000018","admin_county":"E99999999","admin_ward":"E05000358","parish":"E43000208","parliamentary_constituency":"E14000593","ccg":"E38000084","ced":"E99999999","nuts":"UKI75"}}]}
2019-10-20 19:25:24,841 [main] INFO  www.postcodes.io.config.TestConfig - Configuration Loaded Successfully
2019-10-20 19:25:24,847 [main] INFO  TestHelper.PostCodeHelper - GET https://api.postcodes.io/postcodes/RM139R HTTP/1.1
2019-10-20 19:25:24,917 [main] INFO  TestHelper.PostCodeHelper - HttpResponseProxy{HTTP/1.1 404 Not Found [Server: nginx/1.14.0, Date: Sun, 20 Oct 2019 18:25:24 GMT, Content-Type: application/json; charset=utf-8, Content-Length: 41, Connection: keep-alive, X-GNU: Michael J Blanchard, Access-Control-Allow-Origin: *, ETag: W/"29-T14TWaKfjMuMFPoRgcsDj2g1ORs"] ResponseEntityProxy{[Content-Type: application/json; charset=utf-8,Content-Length: 41,Chunked: false]}}
